domain,peel,tp_events,fp_events,matched_events,fp_fraction,fp_share,fp_cumulative
raw_native,89,0,1,1,1.0,3.224558235521733e-05,0.9999677544176451
raw_native,90,0,0,0,0.0,0.0,0.9999677544176451
raw_native,91,1,0,1,0.0,0.0,0.9999677544176451
raw_native,92,0,0,0,0.0,0.0,0.9999677544176451
raw_native,93,0,0,0,0.0,0.0,0.9999677544176451
raw_native,94,0,0,0,0.0,0.0,0.9999677544176451
raw_native,95,1,0,1,0.0,0.0,0.9999677544176451
raw_native,96,0,1,1,1.0,3.224558235521733e-05,1.0000000000000002
denoised,0,11230,47,11277,0.004167775117495788,0.0005829529668585037,0.0005829529668585037
denoised,1,11910,170,12080,0.014072847682119206,0.002108553284381822,0.0026915062512403256
denoised,2,9342,371,9713,0.038196231854216,0.0046016074617979755,0.007293113713038301
denoised,3,7029,645,7674,0.08405003909304144,0.008000099226036912,0.015293212939075212
denoised,4,6370,916,7286,0.12572055997804008,0.011361381226433816,0.026654594165509027
denoised,5,6425,1132,7557,0.14979489215297076,0.014040484223060132,0.04069507838856916
denoised,6,6575,1311,7886,0.16624397666751203,0.016260666798968048,0.05695574518753721
denoised,7,6662,1653,8315,0.19879735417919422,0.020502579876959713,0.07745832506449693
denoised,8,6494,1688,8182,0.20630652652163287,0.02093669378845009,0.09839501885294702
denoised,9,6182,1842,8024,0.22956131605184446,0.02284679499900774,0.12124181385195476
denoised,10,5640,1933,7573,0.25524891060345967,0.023975491168882715,0.14521730502083746
