domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90,score_margin_mean,score_margin_q10,score_margin_median,score_margin_q90,supported
denoised,8.0,duplicate_removal,tp,17,2089,12.55063533782959,10.24095344543457,12.322502136230469,15.27166748046875,4.55063533782959,2.2409534454345703,4.322502136230469,7.27166748046875,True
denoised,8.0,duplicate_removal,tp,18,1735,12.173416137695312,10.02613353729248,11.887239456176758,14.793146133422852,4.1734161376953125,2.0261335372924805,3.887239456176758,6.793146133422852,True
denoised,8.0,duplicate_removal,tp,19,1505,11.845610618591309,9.801520347595217,11.533157348632812,14.339092254638672,3.8456106185913086,1.8015203475952166,3.5331573486328125,6.339092254638672,True
denoised,8.0,duplicate_removal,tp,20,1293,11.650297164916992,9.577141761779783,11.280344009399414,14.280192375183104,3.650297164916992,1.5771417617797834,3.280344009399414,6.280192375183104,True
denoised,8.0,duplicate_removal,tp,21,1225,11.30016040802002,9.459635734558104,10.947141647338867,13.737783432006836,3.3001604080200195,1.4596357345581037,2.947141647338867,5.737783432006836,True
denoised,8.0,duplicate_removal,tp,22,1024,10.919549942016602,9.341511726379396,10.629446029663086,12.985498428344728,2.9195499420166016,1.3415117263793963,2.629446029663086,4.985498428344728,True
denoised,8.0,duplicate_removal,tp,23,943,10.725048065185549,9.17160415649414,10.4794340133667,12.48180866241455,2.7250480651855487,1.1716041564941406,2.479434013366699,4.481808662414551,True
denoised,8.0,duplicate_removal,tp,24,788,10.552342414855955,8.902884483337402,10.294837951660156,12.53182888031006,2.5523424148559553,0.9028844833374023,2.2948379516601562,4.53182888031006,True
denoised,8.0,duplicate_removal,tp,25,717,10.418601989746094,9.062358856201172,10.130160331726074,12.127422332763672,2.4186019897460938,1.0623588562011719,2.130160331726074,4.127422332763672,True
denoised,8.0,duplicate_removal,tp,26,643,10.118640899658203,8.792520523071289,9.974312782287598,11.68130588531494,2.118640899658203,0.7925205230712891,1.9743127822875977,3.6813058853149396,True
denoised,8.0,duplicate_removal,tp,27,618,10.065160751342772,8.776484489440918,9.856942176818848,11.589221000671388,2.0651607513427717,0.776484489440918,1.8569421768188477,3.5892210006713885,True
denoised,8.0,duplicate_removal,tp,28,586,9.850372314453123,8.642007827758789,9.614013671875,11.39735221862793,1.8503723144531232,0.6420078277587891,1.614013671875,3.3973522186279297,True
denoised,8.0,duplicate_removal,tp,29,529,9.718221664428713,8.574125289916992,9.545503616333008,11.153464317321776,1.7182216644287127,0.5741252899169922,1.5455036163330078,3.1534643173217756,True
denoised,8.0,duplicate_removal,tp,30,489,9.633313179016112,8.557390213012695,9.450383186340332,11.02376651763916,1.6333131790161115,0.5573902130126953,1.450383186340332,3.02376651763916,True
denoised,8.0,duplicate_removal,tp,31,483,9.459399223327637,8.406569480895996,9.256017684936523,10.716875076293944,1.4593992233276367,0.4065694808959961,1.2560176849365234,2.7168750762939435,True
denoised,8.0,duplicate_removal,tp,32,389,9.283987045288086,8.337421417236328,9.171064376831056,10.322388648986816,1.283987045288086,0.3374214172363281,1.1710643768310565,2.3223886489868164,True
denoised,8.0,duplicate_removal,tp,33,368,9.225497245788574,8.313393592834473,9.043533325195312,10.208843231201172,1.2254972457885742,0.31339359283447266,1.0435333251953125,2.208843231201172,True
denoised,8.0,duplicate_removal,tp,34,359,9.196422576904297,8.307976722717285,8.994739532470703,10.291871070861816,1.1964225769042969,0.30797672271728516,0.9947395324707031,2.2918710708618164,True
denoised,8.0,duplicate_removal,tp,35,295,9.16201400756836,8.341397285461426,8.93840503692627,10.193198204040527,1.1620140075683594,0.3413972854614258,0.9384050369262695,2.1931982040405273,True
denoised,8.0,duplicate_removal,tp,36,298,8.998252868652344,8.209060668945312,8.833822250366211,9.87861442565918,0.9982528686523438,0.2090606689453125,0.8338222503662109,1.8786144256591797,True
denoised,8.0,duplicate_removal,tp,37,275,8.867834091186523,8.155731201171875,8.759944915771484,9.719904899597168,0.8678340911865234,0.155731201171875,0.7599449157714844,1.719904899597168,True
denoised,8.0,duplicate_removal,tp,38,272,8.866971969604492,8.143631935119629,8.76180362701416,9.692888259887695,0.8669719696044922,0.1436319351196289,0.7618036270141602,1.6928882598876953,True
