domain,sample_type,gt_unit_id,frame,top1_score,top2_score,winner_template,winner_margin
raw_native,background,,24537026,22.708126,18.599411,328,4.108715
raw_native,background,,24537281,5.662705,5.444187,48,0.21851778
raw_native,gt,2143.0,24528377,26.756773,16.063921,124,10.692852
raw_native,gt,1129.0,24493729,18.440289,18.1119,266,0.3283882
raw_native,background,,24540774,7.7917094,4.4232683,305,3.368441
raw_native,background,,24551043,5.3142667,4.4038057,15,0.91046095
raw_native,background,,24555985,19.22743,16.323326,292,2.9041042
raw_native,background,,24561450,9.976311,8.879949,198,1.0963621
raw_native,background,,24566142,13.631377,11.713467,272,1.9179106
raw_native,background,,24575844,9.295178,8.941334,514,0.35384464
raw_native,background,,24578306,47.64888,42.4686,538,5.180279
raw_native,gt,720.0,24591119,27.810318,22.200146,206,5.6101723
raw_native,gt,793.0,24571325,27.802902,23.436886,274,4.3660164
raw_native,background,,24606228,11.4066105,7.1768427,509,4.229768
raw_native,background,,24617613,20.072662,17.56947,190,2.503193
raw_native,background,,24622654,12.293255,10.557798,280,1.7354565
raw_native,background,,24624411,9.536148,6.5304666,47,3.0056815
raw_native,background,,24627256,22.221218,16.573425,206,5.647793
raw_native,background,,24630911,9.677408,9.046081,472,0.6313276
raw_native,background,,24652266,10.167884,6.812362,26,3.3555217
raw_native,background,,24652911,28.194653,23.642366,465,4.552286
raw_native,background,,24653269,21.0385,19.969847,287,1.0686531
raw_native,background,,24655281,14.916914,10.066979,305,4.8499346
raw_native,gt,2143.0,24638780,24.198023,15.770416,124,8.427607
raw_native,gt,94.0,24656756,18.40917,14.991741,273,3.417429
raw_native,gt,1143.0,24628973,17.07798,14.25768,525,2.8203
raw_native,background,,24662288,20.803782,18.35922,327,2.444561
raw_native,background,,24680782,12.100442,10.304429,252,1.7960129
raw_native,background,,24689893,5.267123,4.5802155,177,0.68690777
raw_native,background,,24690764,17.510527,14.556933,241,2.9535933
raw_native,background,,24692043,24.43516,20.934269,328,3.5008907
raw_native,background,,24716520,23.024668,17.59694,197,5.4277287
raw_native,gt,337.0,24705427,14.011598,11.351724,240,2.659874
raw_native,gt,720.0,24662161,18.655426,16.164358,288,2.491068
raw_native,gt,720.0,24682371,14.987048,11.551721,5,3.4353275
raw_native,gt,664.0,24701300,18.285063,16.546303,419,1.73876
raw_native,gt,793.0,24718141,43.104927,33.434586,23,9.6703415
raw_native,background,,24754657,6.385418,6.0488205,163,0.33659744
raw_native,background,,24755276,6.1904755,4.8380675,71,1.3524079
raw_native,background,,24755645,9.419685,5.8571215,53,3.562564
raw_native,background,,24756428,6.894305,6.414043,556,0.48026228
raw_native,background,,24763120,6.1789594,4.498954,146,1.6800056
raw_native,background,,24779317,15.342266,13.665234,197,1.6770325
raw_native,gt,94.0,24758988,7.7131567,6.9928703,33,0.72028637
raw_native,gt,1143.0,24754791,34.17791,32.073524,433,2.1043854
raw_native,gt,664.0,24749170,13.6853285,9.503519,87,4.1818094
raw_native,gt,1300.0,24765637,32.163128,18.434187,473,13.728941
raw_native,background,,24781283,11.965569,11.534794,453,0.4307747
raw_native,background,,24784060,8.046039,7.988828,533,0.057210445
raw_native,background,,24796686,6.4993834,6.2863073,374,0.21307611
raw_native,background,,24798013,6.2530885,4.894143,474,1.3589454
raw_native,background,,24800616,8.564097,7.848973,122,0.7151246
raw_native,background,,24800801,24.551296,24.495258,548,0.056037903
raw_native,background,,24800817,11.2756815,10.6957245,17,0.579957
raw_native,background,,24801583,7.4582973,6.515817,177,0.9424801
raw_native,background,,24805879,4.443246,4.3085155,524,0.13473034
raw_native,background,,24805955,5.340975,5.2412915,8,0.099683285
raw_native,background,,24815409,23.459635,19.057781,40,4.4018536
raw_native,background,,24822599,13.120606,11.227622,6,1.8929844
raw_native,background,,24839735,10.098418,8.270564,228,1.8278542
raw_native,gt,720.0,24822742,18.842913,18.469269,197,0.37364388
raw_native,gt,720.0,24829973,24.103714,18.514063,206,5.589651
raw_native,gt,720.0,24839611,8.551688,7.646675,306,0.9050131
raw_native,background,,24841081,5.413254,5.391413,469,0.021840572
raw_native,background,,24844233,11.754196,9.018315,201,2.7358809
